code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Veverská Bítýška;2507;1624;1622;442;1;3;2;0;110;146;1;8;183;11;6;3;2;4;3;73;1;32;25;211;81;154;110;0;0
;Veverské Knínice;747;464;464;133;0;1;0;0;56;18;1;1;50;5;7;1;0;1;1;22;2;3;8;57;20;48;27;0;0
;Viničné Šumice;1021;765;765;150;2;0;0;0;55;103;1;2;92;4;4;0;0;5;0;47;0;4;15;87;55;64;72;0;0
;Vlasatice;707;355;355;136;1;0;0;1;33;19;0;0;39;3;3;0;0;1;1;9;0;1;3;40;13;15;32;0;1
;Vohančice;147;95;95;36;0;0;0;0;2;4;0;0;15;0;0;0;0;0;1;3;0;1;0;15;7;6;4;0;0
;Vojkovice;922;618;618;162;0;0;0;0;35;28;2;2;129;3;9;0;0;1;4;20;1;10;8;68;35;51;46;0;0
;Vranov;608;435;434;89;0;2;0;0;24;48;0;0;63;4;1;1;1;1;6;11;0;8;6;49;32;49;37;0;0
;Vranovice;1888;1131;1131;381;2;2;0;2;76;86;0;5;133;7;5;2;1;2;0;38;4;13;22;142;41;91;64;0;1
;Vratislávka;79;54;54;16;0;0;0;0;1;13;0;0;5;0;0;0;0;0;0;3;0;1;3;2;0;6;4;0;0
;Všechovice;194;128;128;37;0;0;0;0;9;6;0;0;16;0;0;2;0;0;0;12;1;5;1;11;2;21;5;0;0
;Vysoké Popovice;556;390;390;127;0;0;0;1;41;50;0;0;36;3;4;0;1;0;1;6;0;11;4;37;12;20;33;0;1
;Zakřany;625;368;368;140;0;0;1;0;26;44;1;0;26;2;5;0;0;2;0;5;0;5;4;38;9;32;26;1;1
;Zálesná Zhoř;0;0;0;18;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;5;0;0
;Zastávka;2041;1205;1205;392;1;1;0;0;162;47;0;1;123;7;10;0;3;1;2;42;2;13;21;124;38;95;105;0;3
;Zbraslav;1018;666;666;183;1;1;1;0;82;62;0;3;81;6;3;1;1;2;3;23;1;9;6;69;21;59;46;0;0
;Zbýšov;3075;1692;1692;496;2;2;0;3;288;70;1;3;146;9;14;2;3;7;4;34;7;23;18;232;51;103;156;1;3
;Zhoř;52;42;42;8;0;0;0;0;3;9;0;0;3;0;1;0;0;0;0;4;0;0;0;5;0;7;2;0;0
;Žabčice;1293;867;867;295;0;0;0;0;66;64;0;2;125;4;6;0;1;5;1;17;0;14;12;91;27;69;65;0;0
;Žatčany;662;464;464;112;0;0;0;0;43;124;0;1;25;1;1;0;0;0;0;16;1;12;3;59;9;37;19;0;1
;Žďárec;294;218;218;40;0;0;0;1;28;66;0;0;5;4;4;0;0;0;0;8;4;3;4;13;12;16;10;0;0
;Želešice;1309;901;901;236;2;0;0;3;53;57;0;2;145;10;4;0;1;6;3;24;3;12;13;115;48;88;69;0;0
;Železné;371;281;280;74;1;1;0;0;18;15;0;2;33;0;1;0;0;0;0;43;0;4;10;21;13;26;17;0;0
;Židlochovice;2800;1818;1818;511;1;1;5;1;116;76;1;5;238;8;7;2;0;12;3;66;2;49;34;224;172;158;112;1;0
